neighborhood,stationID,stationName,latitude,longitude,eventCount,types,time,value
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 1:00,20
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 1:00,11
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 2:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 2:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 3:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 3:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 4:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 4:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 5:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 5:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 6:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 6:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 7:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 7:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 8:00,20
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 8:00,11
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 9:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 9:00,12
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/1/18 10:00,23
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/1/18 10:00,7
