neighborhood,Station_Name,latitude,longitude
Astoria,46th St,40.755813,-73.912642
Astoria,46th St,40.756029,-73.91218
Astoria,Steinway St,40.756583,-73.92110799999999
Astoria,46th St,40.756624,-73.914407
Astoria,Steinway St,40.756673,-73.920622
Astoria,46th St,40.756868,-73.914303
Astoria,Steinway St,40.758143,-73.919842
Astoria,Steinway St,40.758278999999995,-73.919433
Astoria,Broadway,40.761773,-73.925399
Astoria,Broadway,40.762217,-73.925349
Astoria,30 Av-Grand Av,40.7667,-73.921406
Astoria,30 Av-Grand Av,40.766787,-73.92162900000001
Astoria,30 Av-Grand Av,40.766963,-73.921192
Astoria,30 Av-Grand Av,40.767052,-73.921409
Astoria,Astoria Blvd-Hoyt Av,40.77017,-73.917755
Astoria,Astoria Blvd-Hoyt Av,40.770313,-73.917978
Bedford-Stuyvesant,Rockaway Av,40.678017,-73.910661
Bedford-Stuyvesant,Rockaway Av,40.678142,-73.910875
Bedford-Stuyvesant,Rockaway Av,40.678317,-73.913651
Bedford-Stuyvesant,Rockaway Av,40.67846,-73.91097099999999
Bedford-Stuyvesant,Rockaway Av,40.678513,-73.91077299999999
Bedford-Stuyvesant,Rockaway Av,40.678594,-73.913732
Bedford-Stuyvesant,Ralph Av,40.678702,-73.921552
Bedford-Stuyvesant,Ralph Av,40.678984,-73.921442
Bedford-Stuyvesant,Ralph Av,40.679164,-73.92187
Bedford-Stuyvesant,Chauncey St,40.683313,-73.911334
Bedford-Stuyvesant,Halsey St,40.685846999999995,-73.915807
Bedford-Stuyvesant,Gates Av,40.69003,-73.923161
Bedford-Stuyvesant,Utica Av,40.679095000000004,-73.930044
Bedford-Stuyvesant,Utica Av,40.679346,-73.931987
Bedford-Stuyvesant,Utica Av,40.679487,-73.929725
Bedford-Stuyvesant,Utica Av,40.67953,-73.93202099999999
Bedford-Stuyvesant,Kingston-Throop,40.679728000000004,-73.941362
Bedford-Stuyvesant,Kingston-Throop,40.679804,-73.941119
Bedford-Stuyvesant,Kingston-Throop,40.680009999999996,-73.940247
Bedford-Stuyvesant,Kingston-Throop,40.680057,-73.940483
Bedford-Stuyvesant,Nostrand Av,40.680228,-73.949414
Bedford-Stuyvesant,Nostrand Av,40.680262,-73.949635
Bedford-Stuyvesant,Nostrand Av,40.680547,-73.949515
Bedford-Stuyvesant,Nostrand Av,40.680572,-73.949753
Bedford-Stuyvesant,Franklin Av,40.681051000000004,-73.95584000000001
Bedford-Stuyvesant,Franklin Av,40.681256,-73.95559
Bedford-Stuyvesant,Classon Av,40.688781,-73.95987099999999
Bedford-Stuyvesant,Bedford-Nostrand Avs,40.68933,-73.955318
